icao,iata,airport_name,country,latitude,longitude,runway,year,length_m,length_ft,measurement_type,current_length_m
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2000,1236.1,4055.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2005,1260.3,4135.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2010,1282.7,4208.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2015,1303.7,4277.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2020,1323.8,4343.0,modeled,1409.7
AYPY,POM,Port Moresby Jacksons International Airport,PG,-9.443380355834961,147.22000122070312,14R/32L,2024,1339.2,4394.0,modeled,1409.7
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,1985,1464.0,4803.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,1990,1529.2,5017.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,1995,1569.9,5151.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2000,1604.6,5265.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2005,1636.0,5367.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2010,1665.1,5463.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2015,1692.5,5553.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2020,1718.5,5638.0,modeled,1830.0
BGBW,UAK,Narsarsuaq International Airport,GL,61.1605,-45.425999,06/24,2024,1738.5,5704.0,modeled,1830.0
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,1985,1759.8,5774.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,1990,1838.1,6031.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,1995,1887.1,6191.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2000,1928.8,6328.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2005,1966.5,6452.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2010,2001.5,6567.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2015,2034.4,6675.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2020,2065.7,6777.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,04/22,2024,2089.8,6856.0,modeled,2199.7
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,1985,760.0,2494.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,1990,793.9,2605.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,1995,815.0,2674.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2000,833.1,2733.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2005,849.3,2787.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2010,864.4,2836.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2015,878.6,2883.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2020,892.2,2927.0,modeled,950.1
BGGH,GOH,Nuuk International Airport,GL,64.191066,-51.67914,05/23,2024,902.6,2961.0,modeled,950.1
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,1985,2248.0,7375.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,1990,2348.0,7704.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,1995,2410.5,7909.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2000,2463.9,8084.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2005,2512.1,8242.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2010,2556.7,8388.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2015,2598.7,8526.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2020,2638.7,8657.0,modeled,2810.0
BGSF,SFJ,Kangerlussuaq International Airport,GL,67.010446,-50.715294,09/27,2024,2669.5,8758.0,modeled,2810.0
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,1985,2437.7,7998.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,1990,2546.2,8354.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,1995,2614.0,8576.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2000,2671.8,8766.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2005,2724.1,8937.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2010,2772.5,9096.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2015,2818.0,9246.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2020,2861.4,9388.0,modeled,3047.1
BGTL,THU,Pituffik Space Base,GL,76.53063,-68.700541,08T/26T,2024,2894.7,9497.0,modeled,3047.1
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,1985,2159.9,7086.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,1990,2256.1,7402.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,1995,2316.1,7599.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2000,2367.4,7767.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2005,2413.7,7919.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2010,2456.6,8060.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2015,2497.0,8192.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2020,2535.4,8318.0,modeled,2699.9
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,01/19,2024,2564.9,8415.0,modeled,2699.9
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,1985,2452.1,8045.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,1990,2561.2,8403.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,1995,2629.4,8627.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2000,2687.6,8818.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2005,2740.1,8990.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2010,2788.8,9150.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2015,2834.7,9300.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2020,2878.3,9443.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,10/28,2024,2911.8,9553.0,modeled,3065.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,1985,2443.3,8016.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,1990,2552.0,8373.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,1995,2620.0,8596.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2000,2678.0,8786.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2005,2730.3,8958.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2010,2778.8,9117.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2015,2824.5,9267.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2020,2868.0,9409.0,modeled,3054.1
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,01/19,2024,2901.4,9519.0,modeled,3054.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,1985,2432.1,7979.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,1990,2540.3,8334.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,1995,2607.9,8556.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2000,2665.7,8746.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2005,2717.8,8917.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2010,2766.1,9075.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2015,2811.6,9224.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2020,2854.8,9366.0,modeled,3040.1
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,17/35,2024,2888.1,9475.0,modeled,3040.1
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,1985,2438.4,8000.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,1990,2547.0,8356.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,1995,2614.7,8579.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2000,2672.6,8768.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2005,2724.9,8940.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2010,2773.3,9099.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2015,2818.9,9248.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2020,2862.2,9391.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,11/29,2024,2895.6,9500.0,modeled,3048.0
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,1985,1463.0,4800.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,1990,1528.2,5014.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,1995,1568.8,5147.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2000,1603.6,5261.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2005,1634.9,5364.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2010,1664.0,5459.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2015,1691.3,5549.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2020,1717.3,5634.0,modeled,1828.8
CYBG,YBG,Saguenay-Bagotville Airport,CA,48.330123,-70.992012,18/36,2024,1737.4,5700.0,modeled,1828.8
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,1985,1951.9,6404.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,1990,2038.8,6689.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,1995,2093.1,6867.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2000,2139.4,7019.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2005,2181.3,7156.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2010,2220.0,7284.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2015,2256.5,7403.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2020,2291.2,7517.0,modeled,2439.9
CYDF,YDF,Deer Lake Airport,CA,49.208159,-57.396147,07/25,2024,2317.9,7605.0,modeled,2439.9
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,1985,2682.2,8800.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,1990,2801.6,9192.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,1995,2876.2,9436.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2000,2939.9,9645.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2005,2997.4,9834.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2010,3050.6,10009.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2015,3100.8,10173.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2020,3148.5,10330.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,02/20,2024,3185.2,10450.0,modeled,3352.8
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,1985,2487.2,8160.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,1990,2597.9,8523.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,1995,2667.0,8750.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2000,2726.1,8944.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2005,2779.4,9119.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2010,2828.8,9281.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2015,2875.3,9433.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2020,2919.5,9578.0,modeled,3109.0
CYEG,YEG,Edmonton International Airport,CA,53.3097,-113.580002,12/30,2024,2953.5,9690.0,modeled,3109.0
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,1985,2098.2,6884.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,1990,2191.7,7190.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,1995,2250.0,7382.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2000,2299.8,7545.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2005,2344.8,7693.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2010,2386.4,7829.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2015,2425.7,7958.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2020,2463.0,8081.0,modeled,2622.8
CYFB,YFB,Iqaluit Airport,CA,63.756402,-68.555801,16/34,2024,2491.7,8175.0,modeled,2622.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,1985,1951.9,6404.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,1990,2038.8,6689.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,1995,2093.1,6867.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2000,2139.4,7019.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2005,2181.3,7156.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2010,2220.0,7284.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2015,2256.5,7403.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2020,2291.2,7517.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,09/27,2024,2317.9,7605.0,modeled,2439.9
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,1985,1463.0,4800.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,1990,1528.2,5014.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,1995,1568.8,5147.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2000,1603.6,5261.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2005,1634.9,5364.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2010,1664.0,5459.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2015,1691.3,5549.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2020,1717.3,5634.0,modeled,1828.8
CYFC,YFC,Fredericton International Airport,CA,45.868697,-66.529891,15/33,2024,1737.4,5700.0,modeled,1828.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,1985,2439.9,8005.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,1990,2548.5,8361.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,1995,2616.3,8584.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2000,2674.2,8774.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2005,2726.5,8945.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2010,2775.0,9104.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2015,2820.6,9254.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2020,2864.0,9396.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,12/30,2024,2897.3,9506.0,modeled,3049.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,1985,1465.5,4808.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,1990,1530.7,5022.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,1995,1571.5,5156.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2000,1606.2,5270.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2005,1637.6,5373.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2010,1666.8,5468.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2015,1694.2,5558.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2020,1720.2,5644.0,modeled,1831.8
CYHM,YHM,John C. Munro Hamilton International Airport,CA,43.17348,-79.931185,06/24,2024,1740.3,5710.0,modeled,1831.8
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,1985,2560.3,8400.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,1990,2674.3,8774.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,1995,2745.5,9007.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,2000,2806.3,9207.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,2005,2861.1,9387.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,2010,2912.0,9554.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,2015,2959.8,9711.0,modeled,3200.4
CYHZ,YHZ,Halifax / Stanfield International Airport,CA,44.8807983398,-63.5085983276,05/23,2020,3005.4,9860.0,modeled,3200.4
